,_id,City,Areas_Zones
0,0,Ain Sokhna,"{'Ain Sokhna': ['Ain Sokhna'], 'GR Galala Road': ['Porta Sokhna', 'Telal'], 'SSR Sokhna-Suez Road': ['Sokhna-Suez Road'], 'ZR Zafarana Road': ['Cancun', 'La Vista 4']}"
1,1,Al Fayoum,"{'AH Al Hawatem': ['Al Hawatem'], 'D Dallah': ['Dallah'], 'EM El Massalah': ['El Massalah'], 'FD Fayoum Downtown': ['Fayoum Downtown'], 'L Lotfallah': ['Lotfallah'], 'TV Tunis Village': ['Tunis Village']}"
2,2,Alexandria,"{'AK Abou Kir': ['Abou Kir'], 'Abou Soliman': ['Abou Soliman'], 'AA Al Agami': ['6 October', 'Abou Talat', 'Abou Youssef', 'Al Bitash', 'Al Dekhila', 'Al Hanoveel'], 'AA Al Amriya': ['Al Amriya'], 'AA Al Asafra': ['Al Asafra Bahary', 'Al Asafra Qibly'], 'AA Al Atarin': ['Al Atarin'], 'AA Al Awayed': ['Al Awayed']}"
3,4,Benha,"{'A Atreb': ['Atreb'], 'EV El Vill': ['El Vill'], 'GES Gharb El Stdad': ['Gharb El Stdad'], 'KEG Kafr El Gzar': ['Kafr El Gzar'], 'KT Kolyt Tegara': ['Kolyt Tegara'], 'MEN Mansheyet El Nour': ['Mansheyet El Nour'], 'MB Manshya Benha': ['Manshya Benha']}"
4,5,Beni Suef,"{'AA Al Azhary': ['Al Azhary'], 'AHEG Al Hai El Ghabry': ['Al Hai El Ghabry'], 'BHV Bany Haroon Village': ['Bany Haroon Village'], 'EZ El Zohour': ['El Zohour']}"
5,6,Cairo,"{'O 6th of October': ['1st Urban', '2nd Urban', 'District 1', 'District 10', 'District 11', 'District 12', 'District 2'], 'A Abbassiya': ['Abbassiya', 'El Daher', 'Sakakini'], 'A Agouza': ['Agouza'], 'Ain Shams': ['Ain Shams'], 'AK Al Katameya': ['Cairo Walk', 'Industrial Area', 'Palm City', 'Sakan Misr', 'Sama W Al Baron', 'Skyline Katameya'], 'AM Al Mokatam': ['Al Abageya', 'Al Zelzal', 'Asmarat', 'Asmarat Heights', 'The Central Plateau', 'The Upper Plateau', 'Uptown Cairo'], 'ARC Al Rehab City': ['Al Rehab City']}"
6,7,Dahab,"{'BL Blue Lagoon': ['Blue Lagoon'], 'ES Elfanar Street': ['Elfanar Street'], 'ES Elmelil Street': ['Elmelil Street'], 'L Laguna': ['Laguna'], 'L Lighthouse': ['Lighthouse'], 'ME Magra Elseil': ['Magra Elseil'], 'M Masbat': ['Masbat']}"
7,8,Damanhour,"{'AGS Al Gomhorya Street': ['Al Gomhorya Street'], 'AMAD Al Maahad Al Dini': ['Al Maahad Al Dini'], 'AA Ard Admon': ['Ard Admon'], 'DU Damanhour University': ['Damanhour University'], 'O Opera': ['Opera'], 'Q Qaraqes': ['Qaraqes']}"
8,9,Damietta,"{'EH El Harbi': ['El Harbi'], ""ES El Shoa'ara"": [""El Shoa'ara""], 'HEZ Hay El Zohour': ['Hay El Zohour'], 'MAG Mit Abou Ghaleb': ['Mit Abou Ghaleb'], 'ND New Damietta': ['New Damietta'], 'REB Ras El Bar': ['Ras El Bar'], 'SS Sorour Square': ['Sorour Square']}"
9,10,El Gouna,"{'D Downtown': ['Downtown'], 'GD Gouna Downtown': ['Movenpick', 'Sheraton Miramar', 'Steingenberger'], 'GM Gouna Marina': ['Abu Tig Marina', 'New Marina'], 'KEG Kafr El Gouna': ['Kafr El Gouna']}"
10,11,El Mansoura,"{'A Abdel Salam Aref': ['Abdel Salam Aref'], 'EG El Galaa': ['El Galaa'], 'EG El Gamaa': ['El Gamaa'], 'EG El Gomhoria': ['El Gomhoria'], 'EM El Mashaya': ['El Mashaya'], 'GS Gihan Street': ['Gihan Street'], 'PS Portsaid Street': ['Portsaid Street']}"
11,12,Hurghada,"{'ED El Dahar': ['El Dahar'], 'EH El Hadaba': ['El Hadaba'], 'EK El Kawther': ['El Kawther'], 'EM El Mamsha': ['El Mamsha'], 'MB Makadi Bay': ['Makadi Bay'], 'MH Marina-Hurghada': ['Marina-Hurghada'], 'SH Sahl Hasheesh': ['Sahl Hasheesh']}"
12,13,Ismailia,"{""AEG Ard El Gam'yat"": [""Ard El Gam'yat""], 'D Downtown': ['Downtown'], 'EB El Balabsa': ['El Balabsa'], 'EB El Balajat': ['El Balajat'], 'EMEG El Mahata El Gadeda': ['El Mahata El Gadeda'], 'ES El Shohda': ['El Shohda'], 'HES Hay El Salam': ['Hay El Salam']}"
13,14,Kafr El Sheikh,"{""EMSE El Madina Sena'Eya"": [""El Madina Sena'Eya""], 'EMT El Madina Togarya': ['El Madina Togarya'], ""HSA Hadekat San'Aa"": [""Hadekat San'Aa""], 'KESU Kafr El Sheikh University': ['Kafr El Sheikh University'], 'MEM Mabna El Mohafza': ['Mabna El Mohafza'], 'MER Masaken El Ray': ['Masaken El Ray'], 'NKES Nadi Kafr El Sheikh': ['Nadi Kafr El Sheikh']}"
14,15,Kafr Eldawar,"{'AZC Al Zohoor City': ['Al Zohoor City'], 'SSD Sidi Shehata District': ['Sidi Shehata District'], 'THD Talaat Harb District': ['Talaat Harb District']}"
15,16,Minya,"{'BM Bani Mazar': ['Bani Mazar'], 'NM New Minya': ['New Minya'], 'S Samalout': ['Samalout']}"
16,17,North Coast,"{'AF Al Fayrouz': ['Al Fayrouz'], 'AH Al Hamam': ['Al Hamam'], 'AB Almaza Bay': ['Almaza Bay'], 'A Amwaj': ['Amwaj'], 'B Badr': ['Badr'], 'B Bianchi': ['Bianchi'], 'BSA Blumar Sidi Abdulrahman': ['Blumar Sidi Abdulrahman']}"
17,18,Port Said,"{'E El ta3awoneyat': ['El ta3awoneyat'], 'HS Hay Sharq': ['Hay Sharq'], 'HA Hay el Arab': ['Hay el Arab'], 'HM Hay el Manakh': ['Hay el Manakh'], 'HZ Hay el Zohoor': ['Hay el Zohoor'], 'PF Port Fouad': ['Port Fouad']}"
18,19,Ras Sudr,"{'RS Ras Sudr': ['Downtown', 'La Hacienda', 'Moon Beach', 'Mousa Coast', 'Ras Matarma']}"
19,20,Sharm El Sheikh,"{'NB Naama Bay': ['Naama Bay'], 'NB Nabq Bay': ['Nabq Bay'], 'OS Old Sharm': ['Old Sharm'], ""SB Shark's Bay"": [""Shark's Bay""], 'UESH Um El Sid Hill': ['Um El Sid Hill']}"
20,21,Shebin El Kawm,"{'AG Al Galaa': ['Al Galaa'], 'AM Al Mahata': ['Al Mahata'], 'KE Kafr Elmeselha': ['Kafr Elmeselha'], 'SA Stadium Area': ['Stadium Area']}"
21,22,Suez,"{'O 24 October': ['24 October'], 'AAEG Ahmed Abdo El Gded': ['Ahmed Abdo El Gded'], 'AH Al Herafyeen': ['Al Herafyeen'], 'Al Salam 1': ['Al Salam 1'], 'Al Salam 2': ['Al Salam 2'], 'EH El Heisha': ['El Heisha'], 'EM El Mostaqbal 1 & 2': ['El Mostaqbal 1 & 2']}"
22,23,Suhag,"{'B Baga': ['Baga'], 'CEN Cornishe El Nile': ['Cornishe El Nile'], 'D Downtown': ['Downtown'], 'EGS El Gomhorya Street': ['El Gomhorya Street'], 'EM El Mahata': ['El Mahata'], 'EZI El Zohour Island': ['El Zohour Island'], 'KI Karaman Island': ['Karaman Island']}"
23,24,Tanta,"{'BEM Beit El Maqdis': ['Beit El Maqdis'], 'BS Botros Street': ['Botros Street'], 'D Downtown': ['Downtown'], 'EGSEB El Geish Street (El Bahr )': ['El Geish Street (El Bahr )'], 'EHS El Helw Street': ['El Helw Street'], 'ENS El Nady Street': ['El Nady Street'], ""ES El Saree'"": [""El Saree'""]}"
